SMAD4	CDKN2B
FOS	CSF2
E2F1	MYCN
E2F2	MYCN
E2F3	MYCN
TP53	VCAN
ETS1	TFRC
MITF	SNAI2
NFKB1	CR2
ETS2	PSEN1
FOS	PGR
JUN	PGR
LEF1	CDX1
E2F4	STMN1
MYC	ID2
TP53	SFN
NFATC2	CDK4
EGR1	CHGA
SP1	RPS3A
SP3	SLC9A3
SP1	TBXA2R
E2F1	PCNA
NFKB1	EGFR
ETS1	CSF2
IRF1	IL4
EPAS1	HIF1A
YY1	DEK
HES1	PTGDS
HOXA10	IGFBP1
CEBPA	CDKN1A
TP53	MGMT
PPARG	RETN
ZEB2	CDH1
HNF4A	CYP3A4
IRF1	IL12A
CEBPA	LTF
PPARG	SMAD3
E2F1	ATM
MAZ	MMP1
CREB1	STAR
SP1	CAT
CEBPA	CYP3A4
HIF1A	CREBBP
PITX2	FSHB
SMAD4	FSHB
CDX2	MUC2
EGR1	IL2
NFATC1	IL2
EGR1	ABCA2
MAX	ODC1
MXD1	ODC1
GATA1	HBG1
FOS	MYC
CEBPB	IL3
RELA	CD86
YY1	IFNB1
TLX1	ALDH1A1
KLF6	NOS2
HNF4A	MYC
TP53	BRCA2
RELA	CCL5
TP53	THBS1
ETS1	PF4
GATA1	PF4
E2F1	CCND3
ETS1	NRP1
NR2C2	NR2C1
SP3	CA9
JUN	FASLG
POU2F3	SPRR2A
JUN	IFNG
ETS2	PTHLH
E2F1	CDK1
ESR1	NCOA1
ETS2	BRCA1
EGR1	COL2A1
TP63	SFN
MYOD1	ACACB
STAT1	S100A10
ETS2	CSF2
AR	GTF2F1
POU2F1	SPP1
ESR1	CCN5
NR0B1	NR1H4
NFE2L2	TXN
CEBPB	INSR
SP1	INSR
FOS	CCL2
TP53	NME1
EGR1	CD44
TP53	E2F1
E2F1	TP53
IRF4	CD68
SPI1	CD68
IRF8	CD68
EHF	SPRR1B
SP1	UGDH
SP1	WT1
RELA	CXCR4
TP53	ARID3A
SP3	DNASE2
SP1	ETS1
PPARA	APOA5
RARA	CYP26A1
NR5A1	AMHR2
ESR1	CDH1
IRF1	CDK2
AR	IGHG1
SP1	SQSTM1
ETS1	CDKN1A
ESR1	CAD
RELA	ELF3
NFKB1	ELF3
ELK1	PSEN1
ESR1	MDM2
ETS2	MDM2
ESR1	TP53
TP53	ESR1
RUNX2	IBSP
SP1	FGL2
TP53	EGR1
EGR1	TP53
PAX6	MITF
NFKB1	IFNG
PPARG	SCARB1
SREBF1	ACACB
TP53	PRKAB1
SPI1	MBP
HNF4A	NR1I2
PPARG	SLC2A4
NFKB1	MYC
TP53	TRAF4
DNMT1	ESR1
FOS	PRKCE
SP1	CYP1B1
SP1	STARD3
NR1H4	UGT2B4
SP1	PTH
IRF1	NOD1
HSF2	HSPA4
TFAP2A	PLAUR
SP1	ATP2A2
MITF	MLANA
FOXO1	PDK4
SPI1	CDK6
GATA3	RUNX1
IRF1	OGN
NFKB2	BCL2
ATF2	IFNG
PPARG	RARB
TFAP2A	ETS1
ETS1	TFAP2A
CEBPB	IL10
MYC	JUN
JUN	MYC
KLF4	GPA33
ETV4	MUC4
USF1	IGF2R
USF2	IGF2R
RELA	S100A6
TP53	MAD1L1
ATF3	ASNS
PPARA	APOA1
EGR1	AR
TP53	DUSP1
INSM1	NEUROD1
PGR	HLTF
ESR1	EGFR
EGR1	UBC
E2F6	BRCA1
E2F6	RBBP4
HNF4A	F2
SP3	F2
FOXO3	BCL2L11
CEBPA	PTGS2
USF1	CYP19A1
USF2	CYP19A1
USF1	CD2
TP53	IFI16
SMAD4	GADD45B
RUNX1	ITGAX
MYC	CCNA2
CREB1	HLA-DOB
POU2F2	HLA-DOB
CEBPA	TF
USF2	TERT
TP53	DUSP5
REST	GLRA1
HNF1A	UGT1A6
NR4A1	E2F1
CEBPA	ELANE
ATF6	XBP1
STAT2	EIF2AK2
JUN	KRT16
SP1	KRT16
JUN	PLAT
CREB1	NPY
RFX5	COL1A2
CEBPA	BCL2
NR2F1	LHCGR
SP1	F2R
FOS	NR3C1
WT1	PDGFA
CREB1	VIP
JUN	FOSL1
JUND	FOSL1
CEBPA	AFP
GATA1	TAL1
GATA2	TAL1
STAT5A	BCL2
TBP	MYC
HIF1A	PTGS2
ETS2	ANPEP
SP1	DCK
TFAP2A	EGFR
CREB1	HMOX1
PPARA	PANK1
SOX10	RET
JUN	MAT2A
GATA4	NOS3
SP3	NOS3
GLI1	BCL2
SP1	TNFRSF10B
RUNX1	PRKCB
SP1	CTSL
FOS	NOS2
NFKB1	NOS3
RELA	NOS3
NFKB1	AR
EGR1	PSEN2
LEF1	ELANE
STAT1	FAS
HOXD3	ITGA5
FLI1	TERT
HIF1A	GCK
TP53	KAT2B
ESR1	SERPINB9
TP53	TNFRSF10C
ESR2	TGFA
NFIC	SMUG1
USF1	PIGR
SP3	MYCN
NR5A1	CYP11B2
TP53	ADA
STAT4	IL2RA
AR	NCOA2
EGR1	GDF15
PGR	VEGFA
USF1	CTSB
USF2	CTSB
STAT1	LGALS3
REL	IL1B
PPARG	PLIN2
NR3C1	NR1I3
E2F1	BBC3
NFIC	CYP17A1
